attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_100,mqar_acc_step_200,mqar_acc_step_300,mqar_acc_step_400,mqar_acc_step_500,mqar_proxy_ppl_step_100,mqar_proxy_ppl_step_200,mqar_proxy_ppl_step_300,mqar_proxy_ppl_step_400,mqar_proxy_ppl_step_500,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_100,wikitext_ppl_step_200,wikitext_ppl_step_300,wikitext_ppl_step_400,wikitext_ppl_step_500
,,,4,384,32,,,,32,,,3,,3.0,mamba_only,,,,,,,,,,,8,,,,0,,PRUNED,,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 128, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,128,,0.0,14253.942560737138,1255.0908934487425,32,6.797522068023682,0.002270487618050284,,0.5,2.0,transformer,0.0,0.0,0.0,0.0,0.0,28131.040963330506,20040.641749716324,17392.49282585096,13634.869744210178,14209.208336363728,2,281600,6714496,0,1,-0.35674816370010376,COMPLETE,0.05,0.05978999788110852,0.17896547008552977,1576.616155621023,1422.765761989813,1485.6546586930285,1260.319850311089,1328.560914059245
0.125,middle,,2,128,128,,,,32,,,3,,2.0,mamba_attn,,,,,,,,,,,8,,,,2,,PRUNED,,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0,17475.49141086416,1034.1204435714658,64,6.405755996704102,0.0018291075892474286,,0.5,2.667,transformer,0.0,0.0,0.0,0.0,0.0,24026.533532533842,17846.287479780083,16294.915382987032,13725.04491767195,15814.794977807935,2,717568,10366912,0,3,-0.34706532657146455,COMPLETE,0.0,0.08074401551640625,0.10786844838313014,1405.2425729283507,1192.4623375947674,1248.6048421085145,1043.4103302923454,1118.07956010089
0.125,early,"{""d_conv"": 2, ""d_model"": 64, ""d_state"": 128, ""mamba_expand"": 1, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [0], ""ska_n_heads"": 2, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,64,128,0.0,35847177.48341722,71277.06437619103,32,11.230070114135742,0.0005548564976918174,1,0.5,2.0,mamba_attn,0.0,0.0,0.0,0.0,0.0,485165195.4097903,485165195.4097903,39035438.41287982,89505841.84489869,57761104.34283583,6,314319,3530767,1,4,-0.558716493844986,COMPLETE,,0.00902897700544083,0.1071549368149517,33278883.232489552,836786.9775982122,188627.4837477445,80984.93300004075,78175.80866629905
0.125,early,,3,256,16,,,,64,,,4,,2.0,mamba_attn,,,,,,,,,,,6,,,,5,,PRUNED,,,,,,,,
,,,3,192,32,,,,32,,,4,,2.0,mamba_only,,,,,,,,,,,8,,,,6,,PRUNED,,,,,,,,
0.25,late,,4,192,32,,,,32,,,3,,2.667,mamba_attn,,,,,,,,,,,8,,,,7,,PRUNED,,,,,,,,
0.25,uniform,,3,256,128,,,,32,,,4,,4.0,mamba_attn,,,,,,,,,,,6,,,,8,,PRUNED,,,,,,,,
0.0,none,"{""d_conv"": 3, ""d_model"": 64, ""d_state"": 16, ""mamba_expand"": 3, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 12, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 2, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",3,64,16,0.0,485165195.4097903,485165195.4097903,32,20.481557846069336,6.66077854344315e-05,3,1.0,2.0,mamba_only,0.0,0.0,0.0,0.0,0.0,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,12,780524,3996972,0,9,-1.0,COMPLETE,,0.03985047343973735,0.08677032984759461,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903
