attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_100,mqar_acc_step_1000,mqar_acc_step_200,mqar_acc_step_300,mqar_acc_step_400,mqar_acc_step_500,mqar_acc_step_600,mqar_acc_step_700,mqar_acc_step_800,mqar_acc_step_900,mqar_proxy_ppl_step_100,mqar_proxy_ppl_step_1000,mqar_proxy_ppl_step_200,mqar_proxy_ppl_step_300,mqar_proxy_ppl_step_400,mqar_proxy_ppl_step_500,mqar_proxy_ppl_step_600,mqar_proxy_ppl_step_700,mqar_proxy_ppl_step_800,mqar_proxy_ppl_step_900,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,train_lm_loss_step_100,train_lm_loss_step_1000,train_lm_loss_step_200,train_lm_loss_step_300,train_lm_loss_step_400,train_lm_loss_step_500,train_lm_loss_step_600,train_lm_loss_step_700,train_lm_loss_step_800,train_lm_loss_step_900,train_mqar_loss_step_100,train_mqar_loss_step_1000,train_mqar_loss_step_200,train_mqar_loss_step_300,train_mqar_loss_step_400,train_mqar_loss_step_500,train_mqar_loss_step_600,train_mqar_loss_step_700,train_mqar_loss_step_800,train_mqar_loss_step_900,train_total_loss_step_100,train_total_loss_step_1000,train_total_loss_step_200,train_total_loss_step_300,train_total_loss_step_400,train_total_loss_step_500,train_total_loss_step_600,train_total_loss_step_700,train_total_loss_step_800,train_total_loss_step_900,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_100,wikitext_ppl_step_1000,wikitext_ppl_step_200,wikitext_ppl_step_300,wikitext_ppl_step_400,wikitext_ppl_step_500,wikitext_ppl_step_600,wikitext_ppl_step_700,wikitext_ppl_step_800,wikitext_ppl_step_900
,,,4,384,32,,,,32,,,3,,3.0,mamba_only,,,,,,,,,,,,,,,,,,,,,8,,,,0,,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,384,32,,,,32,,,3,,3.0,mamba_only,,,,,,,,,,,,,,,,,,,,,8,,,,1,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 128, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,128,,0.0595703125,16.07160150765875,964.8636024987535,32,9.346118927001953,0.002270487618050284,,0.5,2.0,transformer,0.0390625,0.07421875,0.09375,0.05078125,0.07421875,0.06640625,0.08984375,0.0546875,0.0390625,0.04296875,17.15701669310362,16.047831484835456,17.104737445746057,17.25257531196142,16.501755956908944,16.033145979819665,16.029232115325538,16.413361079716932,16.338398382260575,16.01554111197212,2,281600,6714496,0,2,-0.2840290248394013,COMPLETE,7.523772239685059,6.565845012664795,7.221309185028076,7.017145156860352,6.879450798034668,6.690267086029053,6.707621097564697,6.614123821258545,6.527353286743164,6.519001483917236,2.8447265625,2.7802734375,2.8515625,2.80224609375,2.86669921875,2.75830078125,2.74462890625,2.7900390625,2.79345703125,2.76611328125,10.368498802185059,9.346118927001953,10.072872161865234,9.819391250610352,9.746150016784668,9.448568344116211,9.452249526977539,9.404163360595703,9.320810317993164,9.285114288330078,0.05,0.05978999788110852,0.17896547008552977,1870.2846200258148,981.7448620650374,1490.0838850937657,1486.5804917033201,1213.499535404867,1222.736507039501,988.1295599925194,990.5686677277154,944.4020376784722,1168.4533962197386
0.125,middle,,2,128,128,,,,32,,,3,,2.0,mamba_attn,,,,,,,,,,,,,,,,,,,,,8,,,,3,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0732421875,16.106953910276363,976.1539618317388,64,9.017213821411133,0.0018291075892474286,,0.5,2.667,transformer,0.03515625,0.0703125,0.05859375,0.0625,0.05078125,0.0546875,0.078125,0.0703125,0.0859375,0.05859375,16.956096444575593,16.055669253414656,17.89827948093908,16.462522367809036,16.50780018709237,16.671833906928363,16.04391403545058,16.212241443813735,16.325439706940703,16.126381653815887,2,717568,10366912,0,4,-0.27093882858753204,COMPLETE,7.4146199226379395,6.227174758911133,7.246797561645508,7.0790934562683105,6.802638053894043,6.675374984741211,6.470959186553955,6.6843085289001465,6.635715484619141,6.445678234100342,2.82177734375,2.7900390625,2.8408203125,2.83544921875,2.8125,2.83837890625,2.77490234375,2.841796875,2.765625,2.78564453125,10.236396789550781,9.017213821411133,10.087617874145508,9.914543151855469,9.615138053894043,9.513753890991211,9.245861053466797,9.526105880737305,9.40134048461914,9.2313232421875,0.0,0.08074401551640625,0.10786844838313014,1881.2514910757477,1004.3910072893677,1514.8258247479093,1580.893425243698,1256.062442929487,1235.6842157046735,1014.1146937057226,1007.6400503984709,950.034104854165,1200.5830370804504
0.125,early,"{""d_conv"": 2, ""d_model"": 64, ""d_state"": 128, ""mamba_expand"": 1, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [0], ""ska_n_heads"": 2, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,64,128,0.0556640625,17.169587470433584,4340.281097957413,32,11.328895568847656,0.0005548564976918174,1,0.5,2.0,mamba_attn,0.01953125,0.05859375,0.05859375,0.0703125,0.07421875,0.0546875,0.08203125,0.06640625,0.06640625,0.0703125,86914.54417607396,17.20945572775479,2099.1588423079647,127.13059227309412,31.406707488174476,20.927763198538955,18.458543834341732,18.059588414105388,17.337022404229483,16.974735205203785,6,314319,3530767,1,5,-0.3631206572055817,COMPLETE,20.46955108642578,8.506629943847656,14.74220085144043,12.061040878295898,10.182926177978516,9.491596221923828,8.933328628540039,8.603631019592285,8.542394638061523,8.468504905700684,12.234375,2.822265625,7.392578125,5.63330078125,3.85693359375,3.07470703125,2.86962890625,2.8154296875,2.85693359375,2.85302734375,32.70392608642578,11.328895568847656,22.13477897644043,17.6943416595459,14.039859771728516,12.566303253173828,11.802957534790039,11.419060707092285,11.399328231811523,11.321532249450684,,0.00902897700544083,0.1071549368149517,485165195.4097903,4454.993334566886,2261694.114546358,172990.8375322116,28694.32374293884,12231.960728859582,6248.077507444772,5391.864911730838,4553.921292158052,5547.24163152468
0.125,early,,3,256,16,,,,64,,,4,,2.0,mamba_attn,,,,,,,,,,,,,,,,,,,,,6,,,,6,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,192,32,,,,32,,,4,,2.0,mamba_only,,,,,,,,,,,,,,,,,,,,,8,,,,7,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,late,,4,192,32,,,,32,,,3,,2.667,mamba_attn,,,,,,,,,,,,,,,,,,,,,8,,,,8,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,uniform,,3,256,128,,,,32,,,4,,4.0,mamba_attn,,,,,,,,,,,,,,,,,,,,,6,,,,9,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
