attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_100,mqar_acc_step_1000,mqar_acc_step_200,mqar_acc_step_300,mqar_acc_step_400,mqar_acc_step_500,mqar_acc_step_600,mqar_acc_step_700,mqar_acc_step_800,mqar_acc_step_900,mqar_proxy_ppl_step_100,mqar_proxy_ppl_step_1000,mqar_proxy_ppl_step_200,mqar_proxy_ppl_step_300,mqar_proxy_ppl_step_400,mqar_proxy_ppl_step_500,mqar_proxy_ppl_step_600,mqar_proxy_ppl_step_700,mqar_proxy_ppl_step_800,mqar_proxy_ppl_step_900,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,train_lm_loss_step_100,train_lm_loss_step_1000,train_lm_loss_step_200,train_lm_loss_step_300,train_lm_loss_step_400,train_lm_loss_step_500,train_lm_loss_step_600,train_lm_loss_step_700,train_lm_loss_step_800,train_lm_loss_step_900,train_mqar_loss_step_100,train_mqar_loss_step_1000,train_mqar_loss_step_200,train_mqar_loss_step_300,train_mqar_loss_step_400,train_mqar_loss_step_500,train_mqar_loss_step_600,train_mqar_loss_step_700,train_mqar_loss_step_800,train_mqar_loss_step_900,train_total_loss_step_100,train_total_loss_step_1000,train_total_loss_step_200,train_total_loss_step_300,train_total_loss_step_400,train_total_loss_step_500,train_total_loss_step_600,train_total_loss_step_700,train_total_loss_step_800,train_total_loss_step_900,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_100,wikitext_ppl_step_1000,wikitext_ppl_step_200,wikitext_ppl_step_300,wikitext_ppl_step_400,wikitext_ppl_step_500,wikitext_ppl_step_600,wikitext_ppl_step_700,wikitext_ppl_step_800,wikitext_ppl_step_900
0.0,none,"{""d_conv"": 4, ""d_model"": 128, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,128,,0.0595703125,16.07160150765875,964.8636024987535,32,9.346118927001953,0.002270487618050284,,0.5,2.0,transformer,0.0390625,0.07421875,0.09375,0.05078125,0.07421875,0.06640625,0.08984375,0.0546875,0.0390625,0.04296875,17.15701669310362,16.047831484835456,17.104737445746057,17.25257531196142,16.501755956908944,16.033145979819665,16.029232115325538,16.413361079716932,16.338398382260575,16.01554111197212,2,281600,6714496,0,2,-0.2840290248394013,COMPLETE,7.523772239685059,6.565845012664795,7.221309185028076,7.017145156860352,6.879450798034668,6.690267086029053,6.707621097564697,6.614123821258545,6.527353286743164,6.519001483917236,2.8447265625,2.7802734375,2.8515625,2.80224609375,2.86669921875,2.75830078125,2.74462890625,2.7900390625,2.79345703125,2.76611328125,10.368498802185059,9.346118927001953,10.072872161865234,9.819391250610352,9.746150016784668,9.448568344116211,9.452249526977539,9.404163360595703,9.320810317993164,9.285114288330078,0.05,0.05978999788110852,0.17896547008552977,1870.2846200258148,981.7448620650374,1490.0838850937657,1486.5804917033201,1213.499535404867,1222.736507039501,988.1295599925194,990.5686677277154,944.4020376784722,1168.4533962197386
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0732421875,16.106953910276363,976.1539618317388,64,9.017213821411133,0.0018291075892474286,,0.5,2.667,transformer,0.03515625,0.0703125,0.05859375,0.0625,0.05078125,0.0546875,0.078125,0.0703125,0.0859375,0.05859375,16.956096444575593,16.055669253414656,17.89827948093908,16.462522367809036,16.50780018709237,16.671833906928363,16.04391403545058,16.212241443813735,16.325439706940703,16.126381653815887,2,717568,10366912,0,4,-0.27093882858753204,COMPLETE,7.4146199226379395,6.227174758911133,7.246797561645508,7.0790934562683105,6.802638053894043,6.675374984741211,6.470959186553955,6.6843085289001465,6.635715484619141,6.445678234100342,2.82177734375,2.7900390625,2.8408203125,2.83544921875,2.8125,2.83837890625,2.77490234375,2.841796875,2.765625,2.78564453125,10.236396789550781,9.017213821411133,10.087617874145508,9.914543151855469,9.615138053894043,9.513753890991211,9.245861053466797,9.526105880737305,9.40134048461914,9.2313232421875,0.0,0.08074401551640625,0.10786844838313014,1881.2514910757477,1004.3910072893677,1514.8258247479093,1580.893425243698,1256.062442929487,1235.6842157046735,1014.1146937057226,1007.6400503984709,950.034104854165,1200.5830370804504
0.125,early,"{""d_conv"": 2, ""d_model"": 64, ""d_state"": 128, ""mamba_expand"": 1, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [0], ""ska_n_heads"": 2, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,64,128,0.0556640625,17.169587470433584,4340.281097957413,32,11.328895568847656,0.0005548564976918174,1,0.5,2.0,mamba_attn,0.01953125,0.05859375,0.05859375,0.0703125,0.07421875,0.0546875,0.08203125,0.06640625,0.06640625,0.0703125,86914.54417607396,17.20945572775479,2099.1588423079647,127.13059227309412,31.406707488174476,20.927763198538955,18.458543834341732,18.059588414105388,17.337022404229483,16.974735205203785,6,314319,3530767,1,5,-0.3631206572055817,COMPLETE,20.46955108642578,8.506629943847656,14.74220085144043,12.061040878295898,10.182926177978516,9.491596221923828,8.933328628540039,8.603631019592285,8.542394638061523,8.468504905700684,12.234375,2.822265625,7.392578125,5.63330078125,3.85693359375,3.07470703125,2.86962890625,2.8154296875,2.85693359375,2.85302734375,32.70392608642578,11.328895568847656,22.13477897644043,17.6943416595459,14.039859771728516,12.566303253173828,11.802957534790039,11.419060707092285,11.399328231811523,11.321532249450684,,0.00902897700544083,0.1071549368149517,485165195.4097903,4454.993334566886,2261694.114546358,172990.8375322116,28694.32374293884,12231.960728859582,6248.077507444772,5391.864911730838,4553.921292158052,5547.24163152468
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0751953125,16.03461392537094,939.5124904487541,64,9.273513793945312,0.002803751863132791,,2.0,2.667,transformer,0.078125,0.05078125,0.0390625,0.0703125,0.078125,0.09375,0.046875,0.09375,0.0859375,0.078125,18.06179308826661,16.187522390508725,17.363496794233203,18.2446088134742,16.44846127945984,16.68812294706644,16.314482702149036,16.599742895692355,15.949208109442175,16.000885156147017,2,717568,10366912,0,11,-0.267072743177414,COMPLETE,7.453030109405518,6.498611927032471,7.137720584869385,7.006608963012695,6.754341125488281,6.651884078979492,6.341575622558594,6.387415885925293,6.422176837921143,6.4686503410339355,2.9619140625,2.77490234375,2.87890625,2.865234375,2.78369140625,2.7919921875,2.81103515625,2.80126953125,2.79052734375,2.77294921875,10.41494369506836,9.273513793945312,10.016626358032227,9.871843338012695,9.538032531738281,9.443876266479492,9.152610778808594,9.188685417175293,9.212703704833984,9.241600036621094,0.0,0.0969132666736412,0.00774503999223658,1734.611125771745,946.4471526742311,1512.7181027420554,1559.9318944145728,1275.1800542299916,1181.1272892024695,977.0000226856163,988.2201479019977,905.3236536650381,1162.1052668909947
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.056640625,16.080186961223696,963.2860044188349,64,9.305201530456543,0.002661897319215856,,2.0,2.667,transformer,0.03125,0.07421875,0.078125,0.0625,0.07421875,0.03125,0.05078125,0.08984375,0.0859375,0.07421875,17.738411365322026,16.014563630748583,17.079700020438295,17.35078404547056,16.529981311474685,16.905461218478084,16.63321113031458,16.16678751456304,16.112607672397914,16.028253798494976,2,717568,10366912,0,12,-0.2868768930435181,COMPLETE,7.540406703948975,6.523951530456543,7.143483638763428,7.148228168487549,6.812168598175049,6.710254192352295,6.536533832550049,6.560612201690674,6.2877302169799805,6.407341003417969,2.75,2.78125,2.8359375,3.04736328125,2.828125,2.85791015625,2.79443359375,2.79541015625,2.76513671875,2.7890625,10.290407180786133,9.305201530456543,9.979421615600586,10.19559097290039,9.64029312133789,9.568164825439453,9.33096694946289,9.356021881103516,9.05286693572998,9.196403503417969,0.0,0.09934734607775658,0.006147373287024678,2000.304917847382,998.7438236189106,1560.0176235800932,1587.4683853832034,1258.5594953439968,1227.6241600906767,1008.1754475494428,1018.6746814779209,948.5397768958512,1182.239439093286
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 64, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",4,192,64,0.0712890625,16.185546495193446,2025.4364164156937,64,9.917413711547852,0.0007450000521926104,2,2.0,3.0,mamba_only,0.06640625,0.09375,0.06640625,0.07421875,0.09765625,0.0546875,0.04296875,0.07421875,0.08984375,0.08984375,36.41074384256987,15.965765558895457,18.940731278192757,21.30538720028221,19.11843544666532,22.28428754966493,16.85497720207264,17.44635700750065,16.365345430695534,16.178632760716358,2,1165220,10814564,0,14,-0.30938796103000643,COMPLETE,27.2891788482666,7.161554336547852,15.001736640930176,10.566550254821777,8.646615982055664,8.0272798538208,7.585713863372803,7.555117607116699,7.297487258911133,7.222548007965088,3.6484375,2.755859375,3.297607421875,3.003173828125,3.14453125,2.843505859375,2.92578125,2.8544921875,2.81591796875,2.74462890625,30.9376163482666,9.917413711547852,18.29934310913086,13.569724082946777,11.791147232055664,10.8707857131958,10.511495590209961,10.4096097946167,10.113405227661133,9.96717643737793,,0.07962060742252797,0.045427802330175696,485165195.4097903,2390.5372029329233,2227447.4871363877,55180.676143924764,9036.150413562556,4869.569448434548,2413.077689412232,2308.528191050215,2014.266786455797,2615.2503661040764
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0673828125,16.07307297407992,962.2549575765653,64,9.414813995361328,0.0029646246735127607,,2.0,4.0,transformer,0.078125,0.08203125,0.0390625,0.07421875,0.07421875,0.03125,0.08203125,0.046875,0.04296875,0.0703125,16.886898522733425,16.15790927165043,17.208405377989926,17.63693208179464,16.213230990701685,16.863209181006514,16.533008318573472,16.436418477352873,16.311495704622583,16.063510849963784,2,1612800,14478592,0,15,-0.2760811597108841,COMPLETE,7.460545539855957,6.59840726852417,7.310721397399902,7.153894424438477,7.015864372253418,6.788745403289795,6.636810779571533,6.526637554168701,6.509491443634033,6.487091541290283,2.88623046875,2.81640625,2.83984375,2.84716796875,2.896484375,2.796875,2.8466796875,2.84423828125,2.8134765625,2.77978515625,10.346776008605957,9.414813995361328,10.150565147399902,10.001062393188477,9.912348747253418,9.585620880126953,9.483489990234375,9.37087631225586,9.322967529296875,9.266876220703125,0.1,0.08001498668614339,0.004093771922806791,1819.1113587642528,971.9782006406031,1551.2782389767183,1548.9390163793737,1265.0744852054306,1267.453765447307,1006.6085072572017,1021.4004195415265,945.165648769651,1182.6011308575914
0.0,none,"{""d_conv"": 4, ""d_model"": 128, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 2, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,128,,0.0517578125,16.06228534809525,986.3721329933134,64,9.293489456176758,0.0010315711417976951,,1.0,2.667,transformer,0.06640625,0.046875,0.078125,0.046875,0.05859375,0.0859375,0.07421875,0.0546875,0.0625,0.0859375,17.377279450101177,16.008699996116814,16.478606902307174,17.297914368463985,16.590626888595576,15.987218364702837,16.28960776002856,16.406350033138093,16.100810766758592,16.04587264059195,6,1008896,7441792,0,20,-0.29294387251138687,COMPLETE,7.254269599914551,6.516146183013916,7.057126045227051,6.937927722930908,6.777951240539551,6.7986626625061035,6.580149173736572,6.376925945281982,6.417104244232178,6.428154945373535,2.88671875,2.77734375,2.7421875,2.798828125,2.82275390625,2.7646484375,2.83447265625,2.74853515625,2.76123046875,2.78466796875,10.14098834991455,9.293489456176758,9.79931354522705,9.73675537109375,9.60070514678955,9.563310623168945,9.414621353149414,9.12546157836914,9.178335189819336,9.212822914123535,0.0,0.06405395261155132,0.06406794705158333,1624.8371048423987,986.8999650034978,1399.6837916263307,1443.766819689302,1154.2457928043746,1205.1601510610358,997.781453064579,1000.5805752164317,963.7479720363959,1191.0264665641128
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 4, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.048828125,16.064491318779663,1005.0528084727432,64,9.295040130615234,0.0027491309610659788,,2.0,2.0,transformer,0.0625,0.078125,0.078125,0.05078125,0.05078125,0.0859375,0.05078125,0.03515625,0.07421875,0.03125,17.379400829510143,16.02140725235413,17.730834317104247,17.113091407702502,17.68220194314443,16.06939456060553,16.836469939269108,16.428394841448128,16.085094993710467,16.105725094091795,4,1213056,10862400,0,25,-0.29681164324283604,COMPLETE,7.401291847229004,6.519649982452393,7.217993259429932,7.048305988311768,6.9471940994262695,6.847641944885254,6.790029525756836,6.716137886047363,6.512925624847412,6.595640659332275,2.80078125,2.775390625,2.75244140625,2.91015625,2.83154296875,2.8017578125,2.83984375,2.83740234375,2.82470703125,2.77880859375,10.202073097229004,9.295040130615234,9.970434188842773,9.95846176147461,9.77873706817627,9.649399757385254,9.629873275756836,9.553540229797363,9.33763313293457,9.374448776245117,0.1,0.08289458706798049,0.0023241923255105656,2149.167222392022,1027.6565569374643,1568.4696497777684,1639.3463582580266,1316.3123236586712,1325.934142576686,1048.8866103530588,1064.1058176608458,988.679576444043,1245.6072783427337
0.0,none,"{""d_conv"": 4, ""d_model"": 64, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 12, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 1, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,64,,0.064453125,16.025074681148258,1082.6985092818363,64,9.496711730957031,0.0012917290134427425,,2.0,4.0,transformer,0.0703125,0.0703125,0.08203125,0.04296875,0.07421875,0.046875,0.08984375,0.046875,0.05078125,0.04296875,39.65094360243909,16.12146102356273,16.564319868491186,16.47357879783873,16.546131756024902,16.135242573333198,16.154950940950755,16.135242573333198,16.211251957321085,16.046852032824113,12,608128,3824576,0,30,-0.28490746617317203,COMPLETE,7.629086494445801,6.7237629890441895,7.2479681968688965,7.125782012939453,7.020980358123779,6.824116230010986,6.871094226837158,6.7752580642700195,6.789186000823975,6.604933738708496,3.744140625,2.77294921875,2.81640625,2.796875,2.7900390625,2.7783203125,2.74755859375,2.802734375,2.796875,2.775390625,11.3732271194458,9.496711730957031,10.064374923706055,9.922657012939453,9.811019897460938,9.602436065673828,9.61865234375,9.57799243927002,9.586061477661133,9.380324363708496,0.0,0.08027370078372262,0.038596905972637145,2109.7400115474984,1092.7001908351865,1513.7093409909191,1594.8958160589202,1302.4089201948764,1322.9363816149732,1092.2740631827496,1094.6223027769252,1075.7785525994188,1300.4567576499546
