attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_1000,mqar_acc_step_200,mqar_acc_step_400,mqar_acc_step_600,mqar_acc_step_800,mqar_proxy_ppl_step_1000,mqar_proxy_ppl_step_200,mqar_proxy_ppl_step_400,mqar_proxy_ppl_step_600,mqar_proxy_ppl_step_800,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,train_lm_loss_step_1000,train_lm_loss_step_200,train_lm_loss_step_400,train_lm_loss_step_600,train_lm_loss_step_800,train_mqar_loss_step_1000,train_mqar_loss_step_200,train_mqar_loss_step_400,train_mqar_loss_step_600,train_mqar_loss_step_800,train_total_loss_step_1000,train_total_loss_step_200,train_total_loss_step_400,train_total_loss_step_600,train_total_loss_step_800,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_1000,wikitext_ppl_step_200,wikitext_ppl_step_400,wikitext_ppl_step_600,wikitext_ppl_step_800
,,,4,384,32,,,,32,,,3,,3.0,mamba_only,,,,,,,,,,,8,,,,0,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
,,,,128,,,,,32,,,,,2.0,transformer,,,,,,,,,,,2,,,,1,,PRUNED,,,,,,,,,,,,,,,,0.05,,,,,,,
,,,,64,,,,,32,,,,,3.0,transformer,,,,,,,,,,,6,,,,2,,PRUNED,,,,,,,,,,,,,,,,0.1,,,,,,,
0.125,middle,,2,256,32,,,,64,,,2,,4.0,mamba_attn,,,,,,,,,,,12,,,,3,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 4, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0576171875,16.062775537622887,1163.339148856052,64,9.325374603271484,0.002306432040442484,,2.0,2.0,transformer,0.0546875,0.0625,0.09375,0.07421875,0.07421875,16.047831484835456,17.42720039220352,15.894787271878915,16.34637806385157,15.985266919070265,4,2141696,15007488,0,4,-0.2953352987766266,COMPLETE,6.544125080108643,7.430467128753662,7.045012474060059,6.788045883178711,6.89626407623291,2.78125,2.89892578125,2.818359375,2.783203125,2.7744140625,9.325374603271484,10.32939338684082,9.863371849060059,9.571249008178711,9.67067813873291,0.1,0.05187906217433661,0.06464058640415105,1240.2883946376803,1733.9051097807235,1455.00438943648,1481.6444284772292,1183.7809919750262
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.06640625,16.033390628078692,946.918315509978,64,9.279300689697266,0.0005548564976918174,,0.5,3.0,transformer,0.046875,0.0703125,0.078125,0.0625,0.0625,16.167774287078654,16.527963614643323,16.45448598897535,16.283643419669247,16.082149994482712,6,3983872,16849664,0,5,-0.2762543916702271,COMPLETE,6.513187885284424,7.104979515075684,6.697569847106934,6.693904876708984,6.545433521270752,2.76611328125,2.7451171875,2.76708984375,2.796875,2.76416015625,9.279300689697266,9.850096702575684,9.464659690856934,9.490779876708984,9.309593200683594,0.0,0.00902897700544083,0.1071549368149517,1024.89310894707,1374.0272413618432,1099.525944212506,1163.8115916804977,956.7753918038856
0.125,early,"{""d_conv"": 3, ""d_model"": 256, ""d_state"": 16, ""mamba_expand"": 4, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [0], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",3,256,16,0.0576171875,17.486867931347273,485165195.4097903,64,29.2133846282959,4.787010063196982e-05,4,2.0,2.0,mamba_attn,0.05078125,0.046875,0.06640625,0.0859375,0.05859375,17.68867854472388,46.4688996528377,21.909028315316267,17.884629385140446,18.206786944242072,6,6648176,19513968,1,6,-0.9423828125,COMPLETE,26.3989315032959,34.914791107177734,28.673830032348633,26.92910385131836,26.56411361694336,2.814453125,3.6547698974609375,3.174560546875,2.944091796875,2.9013671875,29.2133846282959,38.56956100463867,31.848390579223633,29.87319564819336,29.46548080444336,,0.0005061583846218687,0.13270035382161116,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903
0.5,early,"{""d_conv"": 2, ""d_model"": 384, ""d_state"": 32, ""mamba_expand"": 4, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [0], ""ska_n_heads"": 6, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,384,32,0.076171875,16.284140364612202,485165195.4097903,64,22.895219802856445,0.00011641770641757959,4,2.0,2.667,mamba_attn,0.07421875,0.0703125,0.046875,0.08203125,0.078125,16.00772293242911,28.35282188188078,25.311199056372903,19.244876568954204,17.157540291690385,2,4762632,24061320,1,7,-0.923828125,COMPLETE,20.092485427856445,35.8685417175293,26.313648223876953,22.366336822509766,20.672882080078125,2.802734375,3.425048828125,3.17333984375,2.7666015625,2.82958984375,22.895219802856445,39.2935905456543,29.486988067626953,25.132938385009766,23.502471923828125,,0.0851136671516857,0.07701954572038505,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903
,,,,192,,,,,64,,,,,3.0,transformer,,,,,,,,,,,2,,,,8,,PRUNED,,,,,,,,,,,,,,,,0.05,,,,,,,
0.125,early,,4,256,32,,,,64,,,2,,4.0,mamba_attn,,,,,,,,,,,8,,,,9,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0498046875,16.112607672397914,980.6876864491466,64,9.41644287109375,0.0004404085862095114,,0.5,3.0,transformer,0.03125,0.0390625,0.0390625,0.0625,0.05859375,16.103759183188643,17.25994798223072,16.68506754023105,16.24591994390963,16.115558249103675,6,3983872,16849664,0,10,-0.29460801482200627,COMPLETE,6.633239269256592,7.066413879394531,6.5986328125,6.623218059539795,6.486050605773926,2.783203125,2.9013671875,2.787109375,2.775390625,2.8212890625,9.41644287109375,9.967781066894531,9.3857421875,9.398609161376953,9.307339668273926,0.0,0.025792695260149195,0.18153295905650355,1057.0057683640227,1355.9620008828122,1158.0283218288237,1162.6975109711589,981.8098175884575
0.0,none,"{""d_conv"": 3, ""d_model"": 256, ""d_state"": 64, ""mamba_expand"": 1, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",3,256,64,0.064453125,16.069149362974283,3063.0964515019596,64,10.430249214172363,0.0005202962381692875,1,0.5,3.0,mamba_only,0.05859375,0.0703125,0.046875,0.06640625,0.05859375,16.123429095466964,25.23522830219505,22.326491337901594,22.422084463549407,16.828251013418566,6,4938824,17804616,0,11,-0.33690595477819446,COMPLETE,7.654370307922363,16.3759822845459,9.326616287231445,7.950376510620117,7.624057292938232,2.77587890625,3.40869140625,2.9462890625,3.076904296875,2.818359375,10.430249214172363,19.7846736907959,12.272905349731445,11.027280807495117,10.44241714477539,,0.030826836357545077,0.19211911844076673,3346.9401227288154,11902224.236993317,25044.29358212102,6147.556455296329,3187.444821169372
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0810546875,16.037305507958667,976.6122047402567,64,9.34139633178711,0.0004957571444097859,,0.5,3.0,transformer,0.0703125,0.04296875,0.05078125,0.05078125,0.07421875,16.08804053223305,16.519895289875763,16.662678309931056,16.489674134905655,16.169748012802515,6,3983872,16849664,0,12,-0.2631497949361801,COMPLETE,6.561611652374268,7.043224334716797,6.727933406829834,6.552261829376221,6.386994361877441,2.77978515625,2.8203125,2.8046875,2.82275390625,2.76513671875,9.34139633178711,9.863536834716797,9.532621383666992,9.375015258789062,9.152131080627441,0.0,0.026439561087246384,0.1494836458792489,1046.0653249019886,1361.9029210889148,1126.5304476511615,1182.3734748521838,984.660381218153
,,,,384,,,,,64,,,,,3.0,transformer,,,,,,,,,,,6,,,,13,,PRUNED,,,,,,,,,,,,,,,,0.0,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 8, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.05078125,16.18431168309923,934.9118008652449,32,9.057821273803711,0.0007138061388179561,,1.0,4.0,transformer,0.02734375,0.078125,0.0546875,0.0703125,0.046875,16.19641690486204,16.70850662957961,16.252862432715045,16.259807888305414,16.227090990704905,6,4771840,17637632,0,14,-0.29124135971069337,COMPLETE,6.265829563140869,7.145112991333008,6.690544605255127,6.446898460388184,6.418275833129883,2.7919921875,2.8095703125,2.81591796875,2.83349609375,2.78369140625,9.057821273803711,9.954683303833008,9.506462097167969,9.280394554138184,9.201967239379883,0.0,0.012874590992482584,0.12061034623622015,1022.899658965786,1306.3268685748828,1095.409957539728,1124.7231080051313,957.2943755946718
,,,,64,,,,,64,,,,,4.0,transformer,,,,,,,,,,,6,,,,15,,PRUNED,,,,,,,,,,,,,,,,0.0,,,,,,,
,,,4,192,128,,,,64,,,1,,2.667,mamba_only,,,,,,,,,,,4,,,,16,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
