trial,failure_kind,recovered,loss,ska_delta,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip
79,oom,True,4.2489612102508545,0.17878669500350952,3,lean,32,8,32,6,midlate,0.0157484353446983,0.22845266091683925,1.25,1.05,1,linear,0.004278979007275546,0.0,0.04,0.5
559,oom,True,4.209266245365143,0.15259772539138794,3,full,24,8,32,4,midlate,0.026925265269506757,0.009555143474335606,0.75,0.9,1,linear,0.005174106997793719,0.15,0.06,1.0
585,oom,True,4.210183203220367,0.17937082052230835,3,lean,16,2,32,4,late,0.017152338842793612,0.006400106461968302,0.75,0.9,1,linear,0.005137685569502174,0.15,0.06,1.0
604,oom,True,4.214364647865295,0.17957109212875366,3,lean,24,2,32,4,midlate,0.006761436778952962,0.030969742783507535,0.75,1.0,1,linear,0.0054832800705745125,0.15,0.04,1.0
666,oom,True,4.213578164577484,0.17625105381011963,3,full,24,8,32,6,late,0.0226504407017522,0.010124211831850267,0.75,0.9,1,linear,0.0054692544753694155,0.1,0.01,1.0
736,quota,True,4.2439733147621155,0.05835169553756714,3,full,8,8,32,4,late,0.015512482678921578,0.010798767068211802,1.0,0.9,2,linear,0.005219698161021187,0.15,0.06,1.0
754,quota,True,4.248152077198029,0.07402628660202026,3,full,16,1,32,4,late,0.0060815369958423385,0.018108159150768726,1.25,0.9,1,head_scalar,0.005386055053797072,0.15,0.06,1.0
987,oom,True,4.196728765964508,0.16386544704437256,3,full,32,4,32,4,midlate,0.004213954938126255,0.011071302778033427,1.25,1.05,1,linear,0.005057597417715151,0.15,0.06,1.0
1237,quota,True,4.204035937786102,0.19496440887451172,3,lean,16,2,32,6,midlate,0.02103121015144929,0.09807355506938376,0.75,0.9,1,linear,0.004713994587156083,0.15,0.06,1.0
1259,oom,True,4.194792985916138,0.19381016492843628,3,full,8,2,32,6,late,0.010356014477476477,0.23594306397992096,1.25,1.0,1,linear,0.005339732469367831,0.15,0.06,1.0
1272,quota,False,,,3,lean,32,8,24,3,midlate,0.008470237860909106,0.1926371534521856,0.75,0.9,1,linear,0.004816759704059878,0.1,0.06,1.0
1284,quota,True,4.224233567714691,0.1702193021774292,3,full,8,4,32,6,late,0.006143356445324949,0.14319208532484373,0.8164965809277261,0.9,1,linear,0.004423591800808341,0.15,0.06,1.0
1297,quota,False,,,3,lean,32,2,32,6,even,0.011587785203733776,0.01434884433714172,1.25,1.05,1,linear,0.0038907667618080133,0.15,0.04,1.0
1394,oom,True,4.189443230628967,0.18813878297805786,3,full,32,8,32,6,midlate,0.009238716836852293,0.12589792162389532,1.25,0.9,1,linear,0.005072650441659906,0.1,0.06,1.0
1636,oom,True,4.201675891876221,0.18715089559555054,3,full,32,8,32,6,late,0.02345644678202605,0.07010006219943073,1.25,0.9,1,linear,0.005006874819839263,0.1,0.06,1.0
1818,oom,True,4.1891836524009705,0.20079314708709717,3,full,32,8,32,6,midlate,0.01637125431289818,0.05365620113076706,0.75,0.9,1,linear,0.004806216859568197,0.15,0.06,1.0
1917,oom,False,,,3,full,8,4,32,6,late,0.01370385965934002,0.294275107717637,0.75,1.0,1,linear,0.005000289252527444,0.15,0.06,1.0
1959,oom,False,,,,,,,,,,,,,,,,,,,
509,oom,True,4.205760717391968,0.1825096607208252,3,lean,24,8,32,4,late,0.02809594856310616,0.022520730643735554,0.75,0.9,1,linear,0.005271180991079895,0.15,0.02,1.0
571,oom,True,4.355339348316193,0.1369870901107788,3,lean,24,4,32,4,late,0.013111919050082308,0.0744785549135794,1.25,1.05,1,linear,0.0034157046131814512,0.05,0.06,1.0
594,oom,True,4.225839912891388,0.13803642988204956,3,full,32,2,32,4,midlate,0.014184652561757868,0.15042077502344234,1.25,0.9,1,linear,0.0045969174870200665,0.15,0.04,0.5
615,oom,True,4.228779077529907,0.17301511764526367,3,lean,16,4,24,6,midlate,0.017931574939914978,0.12154364935203617,1.25,1.05,1,linear,0.004871003890730535,0.15,0.06,1.0
727,oom,True,4.215238034725189,0.14743530750274658,3,full,16,1,32,4,late,0.011765873372148971,0.020106528429843125,0.75,1.0,1,linear,0.004608324219460464,0.1,0.06,0.5
748,oom,True,4.179871737957001,0.1567552089691162,3,full,16,1,32,4,late,0.0199959395446637,0.010436682743732485,0.75,0.9,1,linear,0.005400270714174748,0.15,0.06,1.0
771,quota,False,,,3,full,32,8,8,4,midlate,0.003842146866020457,0.0716640147368044,1.25,0.9,1,linear,0.004119468891831266,0.15,0.06,1.0
1218,oom,True,4.194247543811798,0.1889427900314331,3,lean,32,8,32,6,late,0.012190893709061491,0.08843718183280887,0.75,0.9,1,linear,0.004764337707719751,0.15,0.06,0.5
1246,oom,True,4.2238693833351135,0.1556968092918396,2,full,32,4,32,3,late,0.0171183837556168,0.10322078316988131,1.0,1.05,1,learned,0.005373202908409991,0.15,0.06,1.0
1267,quota,True,4.310929238796234,0.05060005187988281,3,full,16,1,32,4,late,0.008494153246008364,0.05523826745255465,1.0,1.0,1,head_scalar,0.004667235293902168,0.15,0.01,1.0
1278,oom,True,4.233563840389252,0.10394173860549927,3,full,24,4,16,4,midlate,0.0033964386740798166,0.04127499484082044,0.8164965809277261,1.05,1,linear,0.005061177747973127,0.15,0.06,1.0
1291,quota,True,4.26522171497345,0.14385539293289185,3,full,32,4,32,3,midlate,0.009177040560567187,0.039786154674280476,0.75,0.9,1,linear,0.004106482485078281,0.1,0.04,1.0
1351,oom,True,4.19706791639328,0.19590163230895996,3,full,32,8,32,6,midlate,0.0037983538071739765,0.10243800646488753,0.75,0.9,1,linear,0.004767897849219173,0.1,0.06,1.0
1538,oom,True,4.182595729827881,0.1973782777786255,3,full,32,8,32,6,midlate,0.006768817790688382,0.11285234915793875,0.75,0.9,1,linear,0.0049502325731267,0.1,0.06,0.5
1705,oom,True,4.190764009952545,0.22464001178741455,3,lean,32,8,32,6,late,0.005892159794220549,0.22821063658048316,1.25,1.05,1,linear,0.005085941226789828,0.15,0.06,1.0
1852,oom,False,,,3,full,32,8,32,6,midlate,0.020853092733477015,0.09578943761650788,0.75,0.9,1,learned,0.004769506400646005,0.1,0.06,1.0
1935,quota,False,,,,,,,,,,,,,,,,,,,
1968,quota,True,4.248245120048523,0.06052440404891968,3,full,24,2,32,4,late,0.018933055584943907,0.2980880770726371,0.8164965809277261,0.9,2,learned,0.00536789334751563,0.15,0.06,0.5
490,oom,True,4.189506471157074,0.17696785926818848,3,full,24,8,32,6,late,0.026931710935261043,0.008357022077597077,0.8164965809277261,0.9,1,linear,0.00513788286661564,0.15,0.06,1.0
568,quota,True,4.232689797878265,0.15251487493515015,2,full,24,8,32,4,even,0.013183839593176337,0.02545339454981047,0.8164965809277261,0.9,1,learned,0.004792523913796473,0.15,0.06,0.5
588,quota,True,4.201660096645355,0.16324299573898315,3,lean,32,1,32,4,midlate,0.0032369428868212233,0.012105958029663707,0.8164965809277261,1.0,1,linear,0.005219881622706322,0.15,0.06,0.5
612,quota,True,4.244527518749237,0.12782526016235352,3,full,8,1,32,4,even,0.00574586032426055,0.010891382723506845,1.0,0.9,1,linear,0.004904525516358762,0.05,0.06,0.5
716,oom,True,4.2325698137283325,0.16983985900878906,3,full,24,8,32,6,late,0.017372990600865782,0.13476482489739117,1.25,1.05,1,linear,0.00400785555034281,0.15,0.06,0.5
744,quota,False,,,,,,,,,,,,,,,,,,,
768,quota,True,4.267417848110199,0.04684162139892578,3,full,24,4,32,4,midlate,0.004150335418326389,0.00844569006170044,1.0,0.9,1,one,0.005043242309447862,0.15,0.06,1.0
1136,oom,True,4.272200524806976,0.1432514786720276,3,lean,24,4,32,4,midlate,0.013182964937345512,0.010807892056041142,1.25,1.05,1,learned,0.004577201225237649,0.15,0.04,1.0
1243,quota,True,4.178148686885834,0.18967103958129883,3,full,24,2,32,6,late,0.0189141601484096,0.14297269230391865,1.25,1.0,1,linear,0.00487912166680137,0.15,0.06,0.5
1261,quota,True,4.2072102427482605,0.14453893899917603,3,full,24,4,32,4,even,0.007721840706781282,0.028829906168662982,1.25,0.9,1,linear,0.00526661558597375,0.05,0.06,1.0
1274,oom,True,4.202723205089569,0.1373702883720398,3,lean,32,2,32,2,even,0.009158963816625653,0.14284846252095423,1.25,1.05,1,linear,0.005265169367353555,0.15,0.06,1.0
1287,oom,True,4.210415482521057,0.15960770845413208,3,full,16,1,32,4,midlate,0.004874503788841803,0.2574474091730323,1.25,0.9,1,linear,0.00518522515018464,0.15,0.06,1.0
1302,oom,True,4.195777595043182,0.18124991655349731,3,full,32,8,32,6,late,0.01779103381831236,0.19174432786586074,0.8164965809277261,1.0,1,linear,0.005172003399437309,0.0,0.06,1.0
1438,oom,True,4.195468842983246,0.20098429918289185,3,lean,32,8,32,6,late,0.019723836905060316,0.0956029795092957,1.0,1.05,1,linear,0.004865009875314185,0.15,0.06,1.0
1691,oom,True,4.21010148525238,0.19565415382385254,3,full,24,8,32,6,late,0.018166580435426266,0.2546792616004327,0.8164965809277261,0.9,1,linear,0.004754794196763209,0.05,0.06,0.5
1828,oom,True,4.191057920455933,0.18667936325073242,3,full,16,8,32,6,late,0.008615396729118964,0.02797073083737115,1.25,1.05,1,linear,0.005202703696540905,0.15,0.06,1.0
1928,quota,True,4.191920101642609,0.20529472827911377,3,full,24,2,32,6,late,0.026517559178867795,0.1988215787100798,0.75,0.9,1,linear,0.00497711184684006,0.15,0.04,0.5
1965,quota,True,4.309373199939728,0.12613296508789062,1,full,32,2,32,2,late,0.01390623678100668,0.14876885142227386,0.8164965809277261,0.9,1,linear,0.0054229878894961865,0.05,0.06,0.5
537,oom,True,4.204789459705353,0.17889201641082764,3,full,16,8,32,6,late,0.02204189945190426,0.01162351769846753,0.8164965809277261,0.9,1,linear,0.004725855277989328,0.15,0.06,1.0
581,quota,False,,,3,lean,24,4,32,4,midlate,0.0035697921353974914,0.04750175018250306,1.25,1.0,1,linear,0.004626824096804556,0.05,0.06,1.0
599,oom,True,4.199925720691681,0.17734652757644653,3,full,16,8,32,6,late,0.018197806840463994,0.029556372590954172,0.8164965809277261,0.9,1,linear,0.004703941514588464,0.15,0.06,1.0
618,oom,True,4.197687983512878,0.19637531042099,3,full,16,8,32,6,late,0.02441790435894169,0.01099766637340454,0.8164965809277261,0.9,1,linear,0.004588542341177559,0.15,0.06,1.0
728,quota,True,4.205892026424408,0.19286185503005981,3,full,24,4,32,6,midlate,0.003378230594012361,0.021222416637506923,1.0,0.9,1,linear,0.005190861809778136,0.15,0.06,1.0
749,quota,True,4.209187269210815,0.14015734195709229,3,full,24,4,32,2,midlate,0.0062524211015883985,0.01720773123222297,1.25,0.9,1,linear,0.005028646948046559,0.15,0.06,1.0
792,oom,True,4.167534172534943,0.19581979513168335,3,full,24,8,32,6,midlate,0.0072619330520970965,0.20812280480028122,0.8164965809277261,0.9,1,linear,0.005395719737023587,0.15,0.06,1.0
1229,quota,True,4.238719463348389,0.16931474208831787,3,lean,32,8,32,3,midlate,0.00484554364305827,0.09101734212995648,0.75,0.9,1,linear,0.004326013159842014,0.1,0.06,1.0
1248,quota,False,,,3,lean,24,2,32,6,late,0.01958991680160283,0.09357279977533058,1.25,1.0,1,linear,0.004816569476794489,0.05,0.02,1.0
1269,oom,True,4.305184006690979,0.11059451103210449,3,full,32,2,24,6,late,0.005890168090914604,0.044840737506538955,1.25,0.9,1,linear,0.0035192095825428956,0.15,0.06,1.0
1279,quota,False,,,,,,,,,,,,,,,,,,,
1294,quota,True,4.252347350120544,0.14045894145965576,3,full,32,2,32,4,late,0.008936494923629999,0.0410768921250791,0.8164965809277261,1.0,1,learned,0.0040712699097627935,0.1,0.06,1.0
