a,b,r,n
learning_rate,ska_rank,0.4388528983325854,1041
learning_rate,ska_power_K,-0.37524948042555145,1041
ska_power_K,ska_rank,-0.3478935553588684,1041
learning_rate,mamba_expand,0.3029714945006815,1041
mamba_expand,ska_power_K,-0.3008585406674111,1041
learning_rate,warmup_ratio,0.2890950522237276,1041
mamba_expand,ska_rank,0.28764730560217,1041
learning_rate,weight_decay,0.23027322194950983,1041
grad_clip,mamba_expand,0.23001008637814746,1041
ska_rank,warmup_ratio,0.22599555924416279,1041
grad_clip,ska_rank,0.21871947944051942,1041
ska_power_K,warmup_ratio,-0.20283098075820385,1041
grad_clip,learning_rate,0.1940786913824481,1041
gamma_value,norm_clip_multiplier,0.1889430825155176,1041
ska_rank,weight_decay,0.18616274610214995,1041
ska_power_K,weight_decay,-0.16533996186779712,1041
d_state,learning_rate,0.1627672571850277,1041
warmup_ratio,weight_decay,0.16098026012531233,1041
grad_clip,weight_decay,0.15906548783139765,1041
d_state,ska_rank,0.15507405188154025,1041
ska_layerscale_init,ska_rank,0.14744522202587876,1041
mamba_expand,n_ska_layers,0.14333263444592387,1041
mamba_expand,ska_ridge,-0.14223601322935522,1041
gamma_value,ska_ridge,-0.1410972878750125,1041
mamba_expand,weight_decay,0.13903670786886682,1041
n_ska_layers,ska_rank,0.13763914097439928,1041
n_ska_layers,ska_n_heads,-0.1351553691068909,1041
mamba_expand,warmup_ratio,0.13345294806474584,1041
mamba_expand,ska_layerscale_init,0.13332207122430967,1041
learning_rate,ska_n_heads,-0.13095886908941393,1041
n_ska_layers,ska_layerscale_init,0.12991211270600167,1041
grad_clip,warmup_ratio,0.1263347127126249,1041
learning_rate,ska_layerscale_init,0.12241816959894587,1041
learning_rate,n_ska_layers,0.11937086295416992,1041
d_state,ska_layerscale_init,0.11299816004989272,1041
d_state,grad_clip,0.11228574481340418,1041
gamma_value,learning_rate,-0.11220594852426632,1041
n_ska_layers,ska_power_K,-0.10992323123063863,1041
d_state,ska_power_K,-0.10751374174144256,1041
d_state,norm_clip_multiplier,0.10538296971356133,1041
grad_clip,ska_ridge,-0.1000081257622345,1041
ska_n_heads,ska_power_K,0.09890030842379327,1041
d_state,mamba_expand,0.09529815322576587,1041
ska_rank,ska_ridge,0.09186670471017927,1041
norm_clip_multiplier,ska_layerscale_init,-0.09155391092234472,1041
norm_clip_multiplier,weight_decay,0.08866979776558373,1041
ska_n_heads,ska_rank,-0.0885269383994695,1041
d_state,warmup_ratio,0.08819770905799246,1041
ska_layerscale_init,ska_power_K,-0.08253157201755441,1041
grad_clip,ska_power_K,-0.07991828060199443,1041
d_state,n_ska_layers,0.07892958811990038,1041
gamma_value,grad_clip,0.07826427056454137,1041
gamma_value,ska_power_K,0.07769413892882998,1041
ska_layerscale_init,ska_ridge,0.07016813635201674,1041
d_state,weight_decay,0.06870296991339236,1041
grad_clip,ska_layerscale_init,0.0674812113685766,1041
d_state,ska_n_heads,-0.06516254820649138,1041
norm_clip_multiplier,ska_rank,-0.06465901474221498,1041
grad_clip,n_ska_layers,-0.06340001971246266,1041
gamma_value,warmup_ratio,-0.06197181088771077,1041
n_ska_layers,ska_ridge,0.06186282533431992,1041
grad_clip,norm_clip_multiplier,0.06153976218908435,1041
ska_n_heads,warmup_ratio,-0.05857906517808688,1041
learning_rate,ska_ridge,0.0572549139268877,1041
ska_layerscale_init,warmup_ratio,0.05643137581599386,1041
n_ska_layers,warmup_ratio,0.04792608481668328,1041
norm_clip_multiplier,ska_n_heads,-0.04743974444379456,1041
grad_clip,ska_n_heads,0.03249658873229099,1041
learning_rate,norm_clip_multiplier,0.03162274508768647,1041
gamma_value,ska_n_heads,0.031132683409464245,1041
gamma_value,n_ska_layers,0.029527455723891826,1041
norm_clip_multiplier,ska_ridge,-0.027565205076788654,1041
n_ska_layers,weight_decay,-0.026793960743167436,1041
d_state,ska_ridge,0.026662277352389876,1041
mamba_expand,norm_clip_multiplier,-0.024514960225222586,1041
norm_clip_multiplier,warmup_ratio,0.023934037698604697,1041
ska_layerscale_init,weight_decay,-0.022544345572611414,1041
gamma_value,weight_decay,0.019224806204997884,1041
ska_n_heads,weight_decay,-0.018998371437255523,1041
gamma_value,ska_rank,0.015291700384884815,1041
ska_ridge,warmup_ratio,0.013631709312310154,1041
norm_clip_multiplier,ska_power_K,-0.01308000936676519,1041
ska_power_K,ska_ridge,-0.012051475911394952,1041
d_state,gamma_value,0.011997835868655157,1041
ska_n_heads,ska_ridge,-0.010982424367451392,1041
gamma_value,ska_layerscale_init,0.00670269017916737,1041
ska_layerscale_init,ska_n_heads,0.006476870181054428,1041
mamba_expand,ska_n_heads,-0.003549756536685895,1041
n_ska_layers,norm_clip_multiplier,-0.0005997157991030945,1041
ska_ridge,weight_decay,-0.00036107407035901063,1041
gamma_value,mamba_expand,0.00033201482754800055,1041
