number,state,loss,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip,n_layers,d_inner,param_count,ska_delta,per_device_batch_size,tokens_per_sec,worker_id,peak_memory_gib,failure_kind
0,COMPLETE,4.450968623161316,3,full,8,1,8,4,late,0.005164816016538545,0.2619410604326627,1.25,0.9,1,learned,0.002694709607015308,0.0,0.06,0.5,11,192,2931776,0.020479917526245117,24,123952.28390435832,0,4.493093967437744,
1,COMPLETE,4.765260934829712,2,lean,8,8,32,2,even,0.02787856752005809,0.010683581653918382,0.75,1.0,2,learned,0.0015291228138939784,0.15,0.01,0.5,12,128,2898992,0.020945489406585693,24,304791.7997253068,7,4.492724418640137,
2,COMPLETE,4.318740367889404,3,full,32,1,24,4,midlate,0.016298649450717333,0.12909734525538646,1.25,0.9,2,learned,0.0046990226919781854,0.0,0.01,1.0,11,192,2976400,0.023612558841705322,24,131812.70395399563,2,4.493578910827637,
3,COMPLETE,4.552704870700836,3,full,16,2,16,2,midlate,0.014453851537742347,0.21797538765535132,1.0,0.9,2,one,0.0021495555856769007,0.0,0.02,0.5,11,192,2931116,0.008455038070678711,24,70785.78457348459,4,4.493053913116455,
4,COMPLETE,4.414880812168121,1,lean,24,4,32,3,late,0.017054589878702026,0.18219719180424548,1.0,1.05,1,linear,0.0033984774725454654,0.05,0.01,0.5,15,64,2921616,0.10904628038406372,24,236926.26763930987,6,4.493022441864014,
5,COMPLETE,4.625857293605804,2,lean,32,4,32,3,even,0.025366164506590218,0.02997247674787111,0.8164965809277261,1.0,2,linear,0.0018854712657013386,0.1,0.04,1.0,12,128,2930412,0.0232236385345459,24,305049.7695507229,1,4.493068218231201,
6,COMPLETE,4.412088751792908,2,full,24,4,16,3,midlate,0.020047989036287694,0.06784128875584286,1.25,1.05,1,learned,0.0034117478840903354,0.15,0.06,1.0,13,128,2958772,0.046474337577819824,24,357610.965376556,5,4.493409156799316,
7,COMPLETE,4.418130576610565,3,lean,16,8,24,6,late,0.006605390015965444,0.0116529975569647,0.8164965809277261,1.0,2,head_scalar,0.003130753223048202,0.05,0.01,1.0,10,192,3025688,0.02850431203842163,24,189894.62058598263,3,4.4941301345825195,
8,COMPLETE,4.713413178920746,2,lean,16,2,16,2,midlate,0.0055537402022251955,0.09000702530259014,1.0,1.0,1,one,0.0016937361062136053,0.05,0.02,0.5,12,128,2853856,0.016142666339874268,24,515959.11590523156,0,4.492204666137695,
9,COMPLETE,4.626318156719208,2,full,16,1,8,6,even,0.01146051193430312,0.2691669467255838,0.75,0.9,2,linear,0.0019049755328313905,0.0,0.06,1.0,13,128,2950558,0.019864022731781006,24,370309.33927767933,4,4.493337631225586,
10,COMPLETE,4.605879962444305,1,lean,16,8,8,6,even,0.0036658080509350544,0.24308740371993673,1.25,0.9,2,head_scalar,0.0022184998305962663,0.05,0.06,0.5,15,64,2929284,0.01613032817840576,24,333848.18214102666,2,4.493119716644287,
11,COMPLETE,4.586810648441315,3,lean,24,1,16,3,midlate,0.008323055092861457,0.1460218370952145,0.8164965809277261,1.05,2,learned,0.0020041165751165262,0.0,0.01,1.0,10,192,2870603,0.010756611824035645,24,527591.3495651996,5,4.492384910583496,
12,COMPLETE,4.556216537952423,3,lean,24,2,16,3,late,0.023127819061629244,0.16279018352272737,1.25,1.05,1,learned,0.0021740674324120485,0.0,0.01,0.5,10,192,2876942,0.035980939865112305,24,545296.7406739291,0,4.492453575134277,
13,COMPLETE,4.355749785900116,2,lean,16,2,16,2,even,0.01765147096037899,0.29241536199788326,0.75,1.0,1,learned,0.004581252795211304,0.05,0.01,1.0,12,128,2854116,0.049082159996032715,24,550939.9675248668,4,4.492212295532227,
14,COMPLETE,4.377855062484741,3,lean,24,4,24,3,midlate,0.0042977965035071305,0.005514393192583889,0.8164965809277261,0.9,1,linear,0.0030207104081581403,0.1,0.06,0.5,10,192,2901908,0.07192033529281616,24,427404.2297253032,5,4.492732524871826,
15,COMPLETE,4.4391770362854,3,full,24,8,8,6,even,0.011102341596793013,0.02121900324689482,1.25,1.05,1,head_scalar,0.002949720525281823,0.0,0.01,0.5,11,192,3017548,0.01616615056991577,24,378043.09534860053,6,4.494057655334473,
16,COMPLETE,4.807741820812225,1,full,16,8,24,6,even,0.006957325025960543,0.029276778734029143,0.8164965809277261,1.0,1,one,0.0015414229658645927,0.0,0.01,1.0,16,64,3079680,0.043992578983306885,24,183806.70745169086,1,4.494802474975586,
17,COMPLETE,4.617214739322662,3,full,16,2,24,2,late,0.025382888827848542,0.07530487827850674,0.75,1.0,2,learned,0.001813215035031031,0.1,0.04,1.0,11,192,2935472,0.01664137840270996,24,549717.7001274579,7,4.493107318878174,
18,COMPLETE,4.388808727264404,3,full,32,8,8,3,midlate,0.005938164030373071,0.1843741150037907,1.0,1.0,2,one,0.0035004529514394956,0.0,0.01,0.5,11,192,2980108,0.0063517093658447266,24,487049.7784161784,0,4.493602752685547,
19,COMPLETE,4.802019834518433,1,lean,8,2,8,2,midlate,0.007111877075235377,0.1260633801044074,0.8164965809277261,0.9,2,learned,0.001530131170267512,0.05,0.06,0.5,15,64,2834600,0.011999130249023438,24,454610.1520847483,4,4.4920477867126465,
20,COMPLETE,4.372253179550171,1,full,16,4,24,2,late,0.029755258054515985,0.008452196547787862,1.25,1.0,2,linear,0.004967355007300705,0.0,0.06,1.0,16,64,2924040,0.031108975410461426,24,401843.6103981919,2,4.493046760559082,
21,COMPLETE,4.762890875339508,1,lean,24,4,16,4,midlate,0.02164730882842408,0.11346125444422121,0.75,1.05,1,head_scalar,0.0015692954806558175,0.05,0.06,1.0,15,64,2912788,0.034739792346954346,24,403407.2088023904,4,4.492929458618164,
22,COMPLETE,4.569258868694305,3,lean,32,8,16,4,even,0.010802983653779966,0.1683146906828675,1.0,0.9,1,head_scalar,0.0018857804796485838,0.1,0.04,1.0,10,192,2949192,0.041151225566864014,24,384532.1083920258,7,4.493257522583008,
23,COMPLETE,4.448999643325806,3,lean,32,1,16,3,late,0.006522642010982404,0.010357828113952928,1.25,1.05,2,linear,0.002808465284936677,0.1,0.02,1.0,10,192,2881643,0.013795435428619385,24,514122.978494503,5,4.492499351501465,
24,COMPLETE,4.377598345279694,2,lean,8,1,24,2,even,0.005204501325212936,0.009838393743516203,0.8164965809277261,0.9,1,head_scalar,0.0036159811741448148,0.1,0.06,1.0,12,128,2838562,0.029491007328033447,24,533454.8560338871,0,4.492048263549805,
25,COMPLETE,4.670452952384949,2,full,32,8,16,2,late,0.00472892978420098,0.11019477881378555,0.75,1.0,1,linear,0.0017177914448874253,0.15,0.02,1.0,13,128,2973256,0.03054589033126831,24,495182.717011587,6,4.493551731109619,
26,COMPLETE,4.808619499206543,1,lean,32,2,32,4,late,0.006315982264388461,0.1494872735458799,1.0,1.05,2,one,0.001514354211650433,0.05,0.02,0.5,15,64,2929332,0.013873457908630371,24,342104.3831346034,2,4.493093490600586,
27,COMPLETE,4.279840409755707,3,lean,24,1,24,4,midlate,0.011762828083430207,0.010820196737903374,1.0,0.9,1,head_scalar,0.0049419345920228815,0.15,0.04,1.0,10,192,2884876,0.050039589405059814,24,420737.930086685,3,4.492547988891602,
