anchor,trial,objective,reference_mean,reference_n,reference_sem,delta,abs_delta,sd_of_contrast,threshold,sigmas,resolved
lr-0.3x,5,2.849388599395752,2.7895981907844543,5,0.0026020220616428153,0.059790408611297696,0.059790408611297696,0.006373626350489614,0.012747252700979228,9.38090897134324,True
lr-3.3x,9,2.7632943987846375,2.7895981907844543,5,0.0026020220616428153,-0.026303791999816806,0.026303791999816806,0.006373626350489614,0.012747252700979228,4.126974277021461,True
lr-0.55x,6,2.8111429810523987,2.7895981907844543,5,0.0026020220616428153,0.021544790267944425,0.021544790267944425,0.006373626350489614,0.012747252700979228,3.38030331293101,True
lr-2.2x,8,2.7714751064777374,2.7895981907844543,5,0.0026020220616428153,-0.01812308430671683,0.01812308430671683,0.006373626350489614,0.012747252700979228,2.843449444651652,True
rank-48,12,2.774172157049179,2.7895981907844543,5,0.0026020220616428153,-0.01542603373527518,0.01542603373527518,0.006373626350489614,0.012747252700979228,2.4202915086307453,True
lr-1.5x,7,2.776101380586624,2.7895981907844543,5,0.0026020220616428153,-0.013496810197830111,0.013496810197830111,0.006373626350489614,0.012747252700979228,2.117602987001788,True
rank-32,11,2.7775371074676514,2.7895981907844543,5,0.0026020220616428153,-0.01206108331680289,0.01206108331680289,0.006373626350489614,0.012747252700979228,1.8923423893332516,False
wd-0.05,20,2.801321804523468,2.7895981907844543,5,0.0026020220616428153,0.01172361373901376,0.01172361373901376,0.006373626350489614,0.012747252700979228,1.839394576074132,False
warmup-0.10,23,2.7789255678653717,2.7895981907844543,5,0.0026020220616428153,-0.010672622919082553,0.010672622919082553,0.006373626350489614,0.012747252700979228,1.6744977399346128,False
wd-0.15,21,2.7829085290431976,2.7895981907844543,5,0.0026020220616428153,-0.006689661741256625,0.006689661741256625,0.006373626350489614,0.012747252700979228,1.0495848632141314,False
rank-8,10,2.7831608951091766,2.7895981907844543,5,0.0026020220616428153,-0.006437295675277621,0.006437295675277621,0.006373626350489614,0.012747252700979228,1.0099894975461052,False
warmup-0.06,22,2.78356209397316,2.7895981907844543,5,0.0026020220616428153,-0.006036096811294467,0.006036096811294467,0.006373626350489614,0.012747252700979228,0.9470427790030053,False
layerscale-20x,17,2.78426530957222,2.7895981907844543,5,0.0026020220616428153,-0.005332881212234408,0.005332881212234408,0.006373626350489614,0.012747252700979228,0.8367106759913441,False
ska-layers-6,14,2.7848976850509644,2.7895981907844543,5,0.0026020220616428153,-0.004700505733489901,0.004700505733489901,0.006373626350489614,0.012747252700979228,0.7374931436212627,False
layerscale-5x,16,2.7851627469062805,2.7895981907844543,5,0.0026020220616428153,-0.004435443878173739,0.004435443878173739,0.006373626350489614,0.012747252700979228,0.6959058523775894,False
layerscale-0.5x,15,2.785988003015518,2.7895981907844543,5,0.0026020220616428153,-0.0036101877689360684,0.0036101877689360684,0.006373626350489614,0.012747252700979228,0.5664260140788985,False
beta-head-scalar,18,2.7862120270729065,2.7895981907844543,5,0.0026020220616428153,-0.0033861637115477627,0.0033861637115477627,0.006373626350489614,0.012747252700979228,0.5312774118438307,False
beta-linear,19,2.7917266190052032,2.7895981907844543,5,0.0026020220616428153,0.00212842822074899,0.00212842822074899,0.006373626350489614,0.012747252700979228,0.333943049640098,False
ska-layers-3,13,2.791650712490082,2.7895981907844543,5,0.0026020220616428153,0.0020525217056275302,0.0020525217056275302,0.006373626350489614,0.012747252700979228,0.3220335791209125,False
