axis,importance,importance_global
learning_rate,0.3521444373626168,0.19249818502111168
ska_layerscale_init,0.34142913226211835,0.4375977612668953
ska_ridge,0.2942533302315013,0.10253029164715782
d_state,0.00295772568907446,0.028259263904518342
ska_rank,0.002487002386222257,0.016577076618886945
weight_decay,0.0017424388415485624,0.020980362595778766
mamba_expand,0.0016857365593867042,0.020980362595778766
warmup_ratio,0.0011910957869707551,0.028259263904518342
n_ska_layers,0.0007343901688674436,0.04028229618389523
ska_n_heads,0.0006387476108794034,0.04028229618389523
beta_policy,0.00045684287464063786,0.04028229618389523
depth_tier,0.0002791202261733772,0.03147054389366816
ska_power_K,0.0,0.0
placement,0.0,0.0
norm_clip_multiplier,0.0,0.0
grad_clip,0.0,0.0
gamma_value,0.0,0.0
