axis,variance_share,spread,resolved,varied,binned,levels
learning_rate,0.750633630640805,0.06451318860054034,True,True,True,"[0.000804, 0.001788]=2.8302657902240753 (n=2); [0.001788, 0.003977]=2.7852215391138326 (n=23); [0.003977, 0.008844]=2.765752601623535 (n=5)"
ska_rank,0.18711892457512738,0.020967911396707617,True,True,False,8=2.7831608951091766 (n=1); 24=2.7893340247017995 (n=21); 32=2.768366113305092 (n=2); 48=2.7755803912878036 (n=6)
d_state,0.12264712996618722,0.015276726484299008,False,True,False,24=2.7875257873535157 (n=25); 32=2.7722490608692167 (n=5)
ska_ridge,0.09642741987361912,0.0269811259848729,True,True,True,"[0.007555, 0.01406]=2.7861762451274052 (n=28); [0.01406, 0.02056]=2.7591951191425323 (n=1); [0.02056, 0.02707]=2.7772600054740906 (n=1)"
mamba_expand,0.09552816085999381,0.020143192793641962,True,True,False,2=2.7863225457923755 (n=28); 3=2.7661793529987335 (n=2)
warmup_ratio,0.06549220227081083,0.010971322007801376,False,True,False,0.02=2.7872649573761485 (n=23); 0.04=2.7772600054740906 (n=1); 0.06=2.7781121730804443 (n=4); 0.1=2.776293635368347 (n=2)
weight_decay,0.021189726156099264,0.0077982590748715275,False,True,False,0.05=2.7780595421791077 (n=3); 0.1=2.785857801253979 (n=26); 0.15=2.7829085290431976 (n=1)
n_ska_layers,0.013913126892237617,0.012371018528938293,False,True,False,3=2.791650712490082 (n=1); 4=2.7851548106582076 (n=27); 6=2.7792796939611435 (n=2)
ska_n_heads,0.007775489120694796,0.007985855998664082,False,True,False,2=2.7772600054740906 (n=1); 4=2.7852458614727547 (n=29)
beta_policy,0.000995474783960782,0.002442076802253723,False,True,False,head_scalar=2.7862120270729065 (n=1); learned=2.7851239264011385 (n=25); linear=2.7837699502706528 (n=4)
ska_layerscale_init,4.788527289795499e-05,0.000510483980178833,False,True,True,"[0.005, 0.01893]=2.7850104020192075 (n=26); [0.01893, 0.07164]=2.7851627469062805 (n=1); [0.07164, 0.2712]=2.7846522629261017 (n=3)"
depth_tier,4.847696074035124e-06,0.00014349286045334253,False,True,False,full=2.784989232463496 (n=28); lean=2.7848457396030426 (n=2)
gamma_value,0.0,,,False,False,1.0=2.784979666272799 (n=30)
grad_clip,0.0,,,False,False,1.0=2.784979666272799 (n=30)
norm_clip_multiplier,0.0,,,False,False,1.0=2.784979666272799 (n=30)
placement,0.0,,,False,False,late=2.784979666272799 (n=30)
ska_power_K,0.0,,,False,False,1=2.784979666272799 (n=30)
