trial,objective,param_count,anchor
0,2.7897994220256805,51698320,reference-k1
1,2.7806457579135895,51698320,reference-k2
2,2.7948119938373566,51698320,reference-k3
3,2.7880666255950928,51698320,reference-k4
4,2.7946671545505524,51698320,reference-k5
5,2.849388599395752,51698320,lr-0.3x
6,2.8111429810523987,51698320,lr-0.55x
7,2.776101380586624,51698320,lr-1.5x
8,2.7714751064777374,51698320,lr-2.2x
9,2.7632943987846375,51698320,lr-3.3x
10,2.7831608951091766,51501712,rank-8
11,2.7775371074676514,51796624,rank-32
12,2.774172157049179,51993232,rank-48
13,2.791650712490082,51327372,ska-layers-3
14,2.7848976850509644,52440216,ska-layers-6
15,2.785988003015518,51698320,layerscale-0.5x
16,2.7851627469062805,51698320,layerscale-5x
17,2.78426530957222,51698320,layerscale-20x
18,2.7862120270729065,51692176,beta-head-scalar
19,2.7917266190052032,51698320,beta-linear
20,2.801321804523468,51698320,wd-0.05
21,2.7829085290431976,51698320,wd-0.15
22,2.78356209397316,51698320,warmup-0.06
23,2.7789255678653717,51698320,warmup-0.10
25,2.7848457396030426,49992032,
29,2.7736617028713226,53464320,
37,2.7848457396030426,49992032,
45,2.7591951191425323,51908656,
50,2.7586970031261444,52574968,
59,2.7772600054740906,51695240,
