trial,objective,best_so_far,anchor
0,2.7897994220256805,2.7897994220256805,reference-k1
1,2.7806457579135895,2.7806457579135895,reference-k2
2,2.7948119938373566,2.7806457579135895,reference-k3
3,2.7880666255950928,2.7806457579135895,reference-k4
4,2.7946671545505524,2.7806457579135895,reference-k5
5,2.849388599395752,2.7806457579135895,lr-0.3x
6,2.8111429810523987,2.7806457579135895,lr-0.55x
7,2.776101380586624,2.776101380586624,lr-1.5x
8,2.7714751064777374,2.7714751064777374,lr-2.2x
9,2.7632943987846375,2.7632943987846375,lr-3.3x
10,2.7831608951091766,2.7632943987846375,rank-8
11,2.7775371074676514,2.7632943987846375,rank-32
12,2.774172157049179,2.7632943987846375,rank-48
13,2.791650712490082,2.7632943987846375,ska-layers-3
14,2.7848976850509644,2.7632943987846375,ska-layers-6
15,2.785988003015518,2.7632943987846375,layerscale-0.5x
16,2.7851627469062805,2.7632943987846375,layerscale-5x
17,2.78426530957222,2.7632943987846375,layerscale-20x
18,2.7862120270729065,2.7632943987846375,beta-head-scalar
19,2.7917266190052032,2.7632943987846375,beta-linear
20,2.801321804523468,2.7632943987846375,wd-0.05
21,2.7829085290431976,2.7632943987846375,wd-0.15
22,2.78356209397316,2.7632943987846375,warmup-0.06
23,2.7789255678653717,2.7632943987846375,warmup-0.10
25,2.7848457396030426,2.7632943987846375,
29,2.7736617028713226,2.7632943987846375,
37,2.7848457396030426,2.7632943987846375,
45,2.7591951191425323,2.7591951191425323,
50,2.7586970031261444,2.7586970031261444,
59,2.7772600054740906,2.7586970031261444,
