anchor,objective,param_beta_policy,param_count,param_d_state,param_depth_tier,param_gamma_value,param_grad_clip,param_learning_rate,param_mamba_expand,param_n_ska_layers,param_norm_clip_multiplier,param_placement,param_ska_layerscale_init,param_ska_n_heads,param_ska_power_K,param_ska_rank,param_ska_ridge,param_warmup_ratio,param_weight_decay,run_id,trial,worker_id
,2.7586970031261444,learned,52574968,32,full,1.0,1.0,0.004830443538500505,3,4,1.0,late,0.010941294834499503,4,1,48,0.00755455954163963,0.02,0.1,8e035888,50,7
,2.7591951191425323,learned,51908656,32,full,1.0,1.0,0.006463388741243674,2,4,1.0,late,0.006967030916763563,4,1,32,0.01406944699650794,0.06,0.05,8ed306a4,45,2
lr-3.3x,2.7632943987846375,learned,51698320,24,full,1.0,1.0,0.008844,2,4,1.0,late,0.01,4,1,24,0.01,0.02,0.1,9c6d2caf,9,5
lr-2.2x,2.7714751064777374,learned,51698320,24,full,1.0,1.0,0.005896000000000001,2,4,1.0,late,0.01,4,1,24,0.01,0.02,0.1,6ea41325,8,6
,2.7736617028713226,linear,53464320,32,full,1.0,1.0,0.0023409149760656245,3,6,1.0,late,0.005085398944466195,4,1,48,0.013473940085234346,0.1,0.05,400d5ed6,29,3
rank-48,2.774172157049179,learned,51993232,24,full,1.0,1.0,0.00268,2,4,1.0,late,0.01,4,1,48,0.01,0.02,0.1,0064efe3,12,3
lr-1.5x,2.776101380586624,learned,51698320,24,full,1.0,1.0,0.00402,2,4,1.0,late,0.01,4,1,24,0.01,0.02,0.1,e483ec60,7,6
,2.7772600054740906,learned,51695240,24,full,1.0,1.0,0.00234776157399298,2,4,1.0,late,0.005056327916516059,2,1,48,0.027068226503865797,0.04,0.1,01a74cd3,59,6
rank-32,2.7775371074676514,learned,51796624,24,full,1.0,1.0,0.00268,2,4,1.0,late,0.01,4,1,32,0.01,0.02,0.1,4fadc4f7,11,7
warmup-0.10,2.7789255678653717,learned,51698320,24,full,1.0,1.0,0.00268,2,4,1.0,late,0.01,4,1,24,0.01,0.1,0.1,8affde05,23,7
reference-k2,2.7806457579135895,learned,51698320,24,full,1.0,1.0,0.00268,2,4,1.0,late,0.01,4,1,24,0.01,0.02,0.1,d8e3e518,1,2
wd-0.15,2.7829085290431976,learned,51698320,24,full,1.0,1.0,0.00268,2,4,1.0,late,0.01,4,1,24,0.01,0.02,0.15,491e8f4a,21,2
rank-8,2.7831608951091766,learned,51501712,24,full,1.0,1.0,0.00268,2,4,1.0,late,0.01,4,1,8,0.01,0.02,0.1,97a0980e,10,1
warmup-0.06,2.78356209397316,learned,51698320,24,full,1.0,1.0,0.00268,2,4,1.0,late,0.01,4,1,24,0.01,0.06,0.1,cfc2b69f,22,4
layerscale-20x,2.78426530957222,learned,51698320,24,full,1.0,1.0,0.00268,2,4,1.0,late,0.2,4,1,24,0.01,0.02,0.1,7ca34aa6,17,0
