number,state,loss,anchor_name,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip,n_layers,d_inner,param_count,ska_delta,tokens_per_sec,peak_memory_gib,per_device_batch_size,model_seed,reference_group,run_id
0,COMPLETE,2.7897994220256805,reference-k1,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51698320,0.1396176517009735,141598.35803997147,2.8466358184814453,12,42,reference,239622ae
1,COMPLETE,2.7806457579135895,reference-k2,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51698320,0.13575538992881775,141077.3380195235,2.8466358184814453,12,43,reference,d8e3e518
2,COMPLETE,2.7948119938373566,reference-k3,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51698320,0.12662002444267273,141386.6574639364,2.8466358184814453,12,44,reference,5a495e56
3,COMPLETE,2.7880666255950928,reference-k4,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51698320,0.13319513201713562,139596.17977004644,2.8466358184814453,12,45,reference,4c1a5e83
4,COMPLETE,2.7946671545505524,reference-k5,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51698320,0.14191734790802002,137900.73707354694,2.8466358184814453,12,46,reference,ef8aac6f
5,COMPLETE,2.849388599395752,lr-0.3x,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.000804,0.1,0.02,1.0,18,768,51698320,0.15304246544837952,118536.96931964344,2.8466358184814453,12,42,,b8edd944
6,COMPLETE,2.8111429810523987,lr-0.55x,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.0014740000000000003,0.1,0.02,1.0,18,768,51698320,0.1362779438495636,140619.29315212386,2.8466358184814453,12,42,,739cd4a1
7,COMPLETE,2.776101380586624,lr-1.5x,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.00402,0.1,0.02,1.0,18,768,51698320,0.14967596530914307,18906.743374679463,2.8466358184814453,12,42,,e483ec60
8,COMPLETE,2.7714751064777374,lr-2.2x,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.005896000000000001,0.1,0.02,1.0,18,768,51698320,0.13828927278518677,138159.13096869615,2.8466358184814453,12,42,,6ea41325
9,COMPLETE,2.7632943987846375,lr-3.3x,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,learned,0.008844,0.1,0.02,1.0,18,768,51698320,0.1456364095211029,106077.87758655555,2.8466358184814453,12,42,,9c6d2caf
10,COMPLETE,2.7831608951091766,rank-8,2,full,24,4,8,4,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51501712,0.011876404285430908,116160.9735418492,2.8444385528564453,12,42,,97a0980e
11,COMPLETE,2.7775371074676514,rank-32,2,full,24,4,32,4,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51796624,0.16652661561965942,113026.32268449428,2.8477344512939453,12,42,,4fadc4f7
12,COMPLETE,2.774172157049179,rank-48,2,full,24,4,48,4,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51993232,0.2008141279220581,75794.76660945985,3.553201675415039,12,42,,0064efe3
13,COMPLETE,2.791650712490082,ska-layers-3,2,full,24,4,24,3,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51327372,0.09702092409133911,107662.01005500644,2.8424839973449707,12,42,,1bf4f943
14,COMPLETE,2.7848976850509644,ska-layers-6,2,full,24,4,24,6,late,0.01,0.01,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,52440216,0.162811279296875,99808.44253781455,2.8549394607543945,12,42,,2c9f6502
15,COMPLETE,2.785988003015518,layerscale-0.5x,2,full,24,4,24,4,late,0.01,0.005,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51698320,0.12808382511138916,130186.68708984819,2.8466358184814453,12,42,,9277cfd3
16,COMPLETE,2.7851627469062805,layerscale-5x,2,full,24,4,24,4,late,0.01,0.05,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51698320,0.17530250549316406,126122.87298052594,2.8466358184814453,12,42,,21aeb257
17,COMPLETE,2.78426530957222,layerscale-20x,2,full,24,4,24,4,late,0.01,0.2,1.0,1.0,1,learned,0.00268,0.1,0.02,1.0,18,768,51698320,0.19432738423347473,107600.42349878364,2.8466358184814453,12,42,,7ca34aa6
18,COMPLETE,2.7862120270729065,beta-head-scalar,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,head_scalar,0.00268,0.1,0.02,1.0,18,768,51692176,0.06112110614776611,93712.38144175251,2.8465652465820312,12,42,,7c0ef84f
19,COMPLETE,2.7917266190052032,beta-linear,2,full,24,4,24,4,late,0.01,0.01,1.0,1.0,1,linear,0.00268,0.1,0.02,1.0,18,768,51698320,0.14981359243392944,140790.0379554148,2.8466358184814453,12,42,,bbc27192
