rung,axis,variance_share,spread,resolved,varied
3M,learning_rate,0.7516019061031018,0.35935427431976574,,True
3M,ska_rank,0.3396216178619587,0.18023403076319422,,True
3M,mamba_expand,0.2865900733708023,0.2372694275029117,,True
3M,ska_power_K,0.24370275829739704,0.1676332865883703,,True
3M,beta_policy,0.21046173817343464,0.1272976664538561,,True
3M,warmup_ratio,0.15437881553476496,0.11772871062359513,,True
3M,depth_tier,0.10317490478645937,0.08460045892158163,,True
3M,weight_decay,0.09065734156869482,0.09268215648195799,,True
3M,n_ska_layers,0.05810539893780915,0.08534924254458254,,True
3M,grad_clip,0.05395510012538237,0.05604936413639017,,True
3M,d_state,0.04730793739170108,0.07471196317617146,,True
3M,ska_n_heads,0.04199747307940629,0.060550990951036,,True
3M,placement,0.0391395246504793,0.060970156201505255,,True
3M,ska_layerscale_init,0.024852902528297586,0.03829019262333144,,True
3M,gamma_value,0.015465862276230239,0.03350138222879551,,True
3M,norm_clip_multiplier,0.0036178505506686645,0.01892279503918015,,True
3M,ska_ridge,0.0008645219282978366,0.006536964667116507,,True
10M,learning_rate,0.5887505801488204,0.10098632950580955,True,True
10M,ska_rank,0.29214874380444417,0.08104591223658364,True,True
10M,warmup_ratio,0.2574640010066511,0.08219283160775204,True,True
10M,n_ska_layers,0.23598647471211234,0.053596485291702134,True,True
10M,ska_n_heads,0.16807960475341743,0.04510443560455135,True,True
10M,weight_decay,0.16708321200612267,0.051650238914067614,True,True
10M,ska_ridge,0.1592416459105454,0.04099484235048312,True,True
10M,ska_layerscale_init,0.12649246935415906,0.03676324430654576,True,True
10M,beta_policy,0.11439930452242787,0.03654121949866029,True,True
10M,mamba_expand,0.05218655359054322,0.045497849793501466,True,True
10M,d_state,0.04700910131033836,0.027369890629855842,True,True
10M,depth_tier,0.021630630272632158,0.020601150996524265,True,True
10M,gamma_value,0.0,,,False
10M,grad_clip,0.0,,,False
10M,norm_clip_multiplier,0.0,,,False
10M,placement,0.0,,,False
10M,ska_power_K,0.0,,,False
50M,learning_rate,0.750633630640805,0.06451318860054034,True,True
50M,ska_rank,0.18711892457512738,0.020967911396707617,True,True
50M,d_state,0.12264712996618722,0.015276726484299008,False,True
50M,ska_ridge,0.09642741987361912,0.0269811259848729,True,True
50M,mamba_expand,0.09552816085999381,0.020143192793641962,True,True
50M,warmup_ratio,0.06549220227081083,0.010971322007801376,False,True
50M,weight_decay,0.021189726156099264,0.0077982590748715275,False,True
50M,n_ska_layers,0.013913126892237617,0.012371018528938293,False,True
50M,ska_n_heads,0.007775489120694796,0.007985855998664082,False,True
50M,beta_policy,0.000995474783960782,0.002442076802253723,False,True
50M,ska_layerscale_init,4.788527289795499e-05,0.000510483980178833,False,True
50M,depth_tier,4.847696074035124e-06,0.00014349286045334253,False,True
50M,gamma_value,0.0,,,False
50M,grad_clip,0.0,,,False
50M,norm_clip_multiplier,0.0,,,False
50M,placement,0.0,,,False
50M,ska_power_K,0.0,,,False
180M,learning_rate,0.5841028977637347,0.018615114688873113,True,True
180M,ska_rank,0.07455561188801985,0.007170498371124268,True,True
180M,weight_decay,0.028832814617578386,0.005541262718347539,True,True
180M,n_ska_layers,0.018244571964517373,0.004407903322806828,True,True
180M,warmup_ratio,0.0010613998183014413,0.0010631749263176893,False,True
180M,beta_policy,0.0,,,False
180M,d_state,0.0,,,False
180M,depth_tier,0.0,,,False
180M,gamma_value,0.0,,,False
180M,grad_clip,0.0,,,False
180M,mamba_expand,0.0,,,False
180M,norm_clip_multiplier,0.0,,,False
180M,placement,0.0,,,False
180M,ska_layerscale_init,0.0,,,False
180M,ska_n_heads,0.0,,,False
180M,ska_power_K,0.0,,,False
180M,ska_ridge,0.0,,,False
